bank_tier,current_version,target_version,version_jump_size,system_age_months,last_upgrade_months_ago,code_customization_percent,third_party_integrations,avg_transaction_volume,peak_transaction_volume,system_uptime_percent,avg_response_time_ms,incident_count_last_6months,unplanned_downtime_hours_last_year,infrastructure_model,server_count,database_size_gb,concurrent_users,network_bandwidth_mbps,power_stability_score,deployment_strategy,deployment_automation_level,pm_methodology,critical_incidents_last_year,test_environment_available,backup_verified,rollback_plan_exists,staff_training_completed,early_stage_testing_completed,cbn_compliance_verified,data_localization_compliant,cyber_security_framework_updated,bcp_dr_plan_tested,customer_satisfaction_score,customer_complaints_last_quarter,digital_banking_adoption_percent,service_disruption_tolerance_hours,upgrade_window_hours,business_critical_period,regulatory_compliance_required,dedicated_team_size,vendor_support_available,budget_allocated_usd,external_consultant_engaged,upgrade_success,upgrade_risk_score,system_health_score
tier1,v9.0,v9.0,major_1x,109,9,69.36906988963084,31,129164,654122,97.71268121840966,652,9,28,private_cloud,14,17569,9810,7983,93.87314864918446,big_bang,76.54351552633574,kanban,2,1,1,1,1,1,1,1,1,0,65.57983074925173,11,66.7569046677499,7,53,1,0,18,0,1575561,1,1,89.09195955664227,44.81634060920484
microfinance,v8.5,v11.0,major_2x,14,2,25.56275541087959,22,98003,360619,96.1177314801174,776,2,8,public_cloud,34,2568,2576,8065,60.62697331606641,blue_green,46.865356187790894,scrum,1,1,1,1,0,1,0,0,0,1,64.50243575723196,19,73.64578544493814,6,24,1,1,6,1,1448322,0,1,100.0,72.53886574005871
tier3,v10.1,v9.0,minor,90,39,52.61467112405425,6,280453,177966,98.05428290671564,822,3,28,on_premise,7,14519,3641,1950,77.16647153043765,blue_green,52.762644972707164,kanban,1,1,1,1,1,1,1,1,1,0,78.06261394106897,13,69.6993934989464,8,18,0,1,11,1,1574670,0,1,49.639385520833386,59.587141453357816
tier2,v10.1,v11.0,minor,96,6,54.25509618418175,31,381438,417331,97.48843380588843,338,12,35,private_cloud,38,31139,7443,8209,80.3191041631371,blue_green,59.51815889891332,agile,0,1,1,1,1,1,0,1,1,1,80.92664524603025,12,47.65335129639924,8,62,0,1,16,0,3740562,1,1,100.0,38.48421690294421
tier2,v10.1,v9.0,major_1x,66,15,42.485235883069016,33,223179,679208,97.95352849885653,1211,1,23,hybrid_cloud,39,35585,6660,3018,90.50486008203404,rolling,56.51245671193629,agile,7,1,1,1,1,1,1,1,1,1,73.54268594910704,11,77.72788371180594,7,38,1,0,7,1,1902270,0,1,32.887768710885055,60.25676424942827
tier2,v8.2,v10.1,major_2x,23,19,26.35426414433965,9,214730,638200,96.5239575406071,256,9,38,public_cloud,38,14085,4187,3989,77.21122071170144,rolling,39.39894494433562,scrum,6,1,1,1,1,1,1,1,1,1,79.86982418959221,13,81.14426300919189,8,47,1,0,12,1,873687,1,1,90.57932293974167,47.14197877030355
tier2,v9.0,v9.0,major_1x,37,37,67.09765419521037,29,286467,733899,98.65294027687187,1024,2,10,private_cloud,33,10770,5657,8071,78.67676801921495,canary,82.44534588399846,kanban,4,1,1,1,1,1,1,1,1,1,74.52613327427669,7,74.38882129301224,8,26,0,1,6,0,3237267,1,1,37.124650572422865,67.84647013843593
tier3,v10.1,v10.5,major_1x,68,5,49.7204729947591,21,239331,390901,97.45749220992671,571,4,13,on_premise,10,24502,5477,3699,68.59975578935806,blue_green,17.81014253195879,waterfall,6,0,1,1,1,1,1,1,0,1,86.07245015484166,11,65.03332371053396,7,23,1,1,8,1,1143599,1,1,84.95659185744009,68.80874610496336
tier2,v8.2,v11.0,major_1x,100,25,24.429590516038836,26,222555,719352,98.84444372676202,1320,13,41,hybrid_cloud,20,37099,2555,3507,85.91555043860319,blue_green,19.187807189380305,agile,5,1,1,1,1,0,1,1,1,0,78.18856101583019,13,76.92771438500647,6,22,1,0,13,1,2927530,0,1,100.0,13.52222186338102
tier2,v8.5,v9.0,minor,78,14,56.19773102561463,36,143603,415144,96.05449406960606,486,3,26,on_premise,33,16394,6310,6481,77.9101909694372,rolling,31.800528636344396,scrum,7,0,1,1,1,1,1,1,1,1,62.831683527318226,10,81.90467505796299,7,6,0,0,16,0,2136272,0,1,74.49134533957594,66.30724703480303
tier3,v10.1,v11.0,major_1x,36,22,53.20988253038466,31,203266,453450,96.5919709078138,674,3,15,on_premise,9,20290,4988,2746,59.20943048410288,big_bang,22.10231206181075,waterfall,2,1,0,0,1,0,1,1,1,1,73.29598906859461,19,76.58680615753723,9,29,0,0,7,1,1790608,1,1,100.0,68.31598545390689
tier1,v10.1,v10.5,minor,98,35,72.7942741622103,37,137909,699242,96.09507666743224,1715,15,22,hybrid_cloud,12,21238,3891,3266,88.99676392285951,canary,96.67241581459976,waterfall,1,1,1,1,1,1,1,1,1,1,64.81027663729951,9,60.146744058941444,6,13,1,0,12,1,1271385,0,1,100.0,7.747538333716122
tier2,v8.2,v9.0,major_2x,70,21,27.62213944329432,29,139673,811665,96.27524310000469,1169,4,30,private_cloud,16,36858,6312,7241,87.52465675900584,canary,11.123633838142219,agile,2,1,1,1,0,1,1,1,0,1,62.80556158764274,7,44.877660500746366,3,65,1,0,5,1,1873695,0,1,80.88380689118549,47.75762155000234
tier2,v9.0,v9.0,minor,105,6,73.03323090996086,25,349582,212889,96.98631846971408,1440,11,26,on_premise,29,37499,2635,1559,84.94653312247928,blue_green,76.06692213174534,kanban,7,1,1,0,1,1,1,0,1,1,79.98252369131605,14,59.854053539702356,6,64,0,0,10,1,1518733,1,1,100.0,23.69315923485705
tier2,v8.5,v10.5,major_1x,23,25,23.504696021621157,31,225263,673124,98.97247512049934,1576,2,17,hybrid_cloud,28,36121,2835,3504,80.01387929471825,canary,40.774485558148896,scrum,4,1,0,1,1,1,1,1,1,0,76.23043606445438,7,82.78956083946903,10,49,0,0,14,0,2857318,0,1,61.7241579745127,53.46623756024967
tier3,v10.1,v10.5,minor,64,36,45.48580638525392,28,150743,166966,97.21861865233218,1152,10,25,private_cloud,7,21314,5764,1221,75.2567650121331,canary,42.31717721847474,scrum,2,1,1,1,0,1,0,1,1,1,84.68427334080904,15,50.94404689048711,8,53,0,1,5,1,717639,1,1,99.42865524608948,33.06930932616609
tier2,v9.0,v10.5,major_1x,31,31,53.37399499766453,7,215229,728368,96.73143594473026,274,2,36,private_cloud,25,9944,2604,4739,86.34438460927298,canary,62.16920942815432,waterfall,4,1,1,1,1,1,0,1,1,1,78.64064684382382,11,77.20500913151531,1,8,0,0,12,0,1033563,1,1,51.02347226633166,68.88571797236513
tier3,v8.5,v11.0,minor,48,29,35.51213489219043,32,215933,475162,97.89316309781165,1200,7,25,on_premise,29,22047,5414,2183,72.56963793201454,blue_green,8.875907692219172,agile,0,1,1,1,0,1,1,0,1,1,82.15756312092302,12,63.02974991034689,7,44,0,1,11,0,1201990,1,1,89.11818250940962,41.446581548905826
tier3,v9.2,v10.5,minor,94,8,38.59006945731882,33,152053,601168,95.3094502931836,211,1,34,hybrid_cloud,14,19783,3047,3380,66.46692277406899,canary,39.12042063494885,kanban,2,1,1,1,1,1,1,1,1,1,84.53604331413814,12,68.12931680412466,3,6,0,0,11,1,1516230,1,1,37.34637166459557,73.4347251465918
tier1,v9.2,v11.0,minor,105,44,73.05097316120016,44,247138,355536,97.2239489180088,946,15,44,hybrid_cloud,34,21164,5591,6131,90.16143584118296,canary,18.3673405529516,kanban,5,1,1,1,1,1,1,0,1,0,91.55545199371159,13,74.78924863339516,7,56,0,0,11,1,2987874,0,1,100.0,12.691974459004399
tier3,v8.5,v10.1,major_1x,95,36,47.93264972404055,22,233408,403908,97.37420291819268,1193,9,30,private_cloud,26,16661,5685,4344,79.81302363693275,rolling,12.29122715486028,kanban,5,1,1,1,1,1,1,1,1,1,79.34725899862981,13,66.37092127143279,5,48,0,1,7,1,590060,1,1,77.63208572980551,32.82710145909634
tier2,v8.2,v9.0,minor,82,31,43.877186813734546,23,93006,715598,97.73580190043282,296,7,37,hybrid_cloud,37,33855,7471,2887,94.7236997616588,big_bang,57.24074306817696,kanban,5,0,1,1,0,1,1,1,0,1,65.57831564729356,10,54.09940887504417,2,45,0,0,13,1,1945756,1,1,100.0,53.44790095021641
tier1,v8.5,v9.0,major_1x,26,36,24.475867127015523,20,318170,930770,98.26670817338147,1545,1,46,hybrid_cloud,16,31398,4571,8647,98.21970383634341,canary,38.36447712477843,kanban,0,1,1,1,1,1,1,1,0,1,66.08528445327177,2,76.82443251091843,12,31,0,0,11,1,4988069,1,1,35.75014134230067,42.233354086690724
microfinance,v8.5,v9.2,major_1x,67,13,21.819389370222204,10,315725,447318,96.75805187885622,1044,2,20,public_cloud,29,13433,4442,862,87.29192947819917,blue_green,14.189723901565984,waterfall,4,1,1,0,1,1,1,1,0,1,84.05644637158518,12,50.529937821993606,8,12,0,0,16,1,831660,0,1,44.49329137690876,61.49902593942812
microfinance,v8.2,v10.1,major_1x,48,11,50.94666750856972,24,186364,492701,98.30801046313512,1707,8,33,private_cloud,10,30896,4245,3079,69.32794400679718,big_bang,39.092448613515174,waterfall,2,1,1,0,0,1,0,1,1,1,69.12965992829564,15,49.44358447712852,4,10,0,0,10,0,3258674,1,1,100.0,24.514005231567566
tier3,v8.2,v10.5,major_1x,11,28,65.5953440537624,33,87888,419614,96.34815481768007,802,1,4,on_premise,23,5499,5481,4998,80.24722343117617,canary,8.0552747265844,scrum,2,0,1,1,1,1,1,1,1,1,76.2301751086326,15,68.48660428394477,6,46,0,0,5,1,503858,0,1,66.55852722475605,77.13407740884003
tier2,v9.0,v10.5,major_2x,69,20,16.527169398597508,40,237504,469881,97.97915449008771,1390,4,42,private_cloud,23,35808,7908,5910,91.76138711762482,canary,57.706316008339904,scrum,1,0,1,0,1,1,1,1,1,1,67.39656891191636,11,63.174070674446945,9,59,1,1,5,1,1220008,1,1,82.55049413311751,38.18957724504385
tier1,v9.0,v10.1,minor,75,15,59.63003972579532,47,128867,307029,96.65838241654598,718,3,40,public_cloud,36,48978,6508,3133,87.87329981331656,blue_green,23.76777338284285,kanban,1,1,1,1,1,0,1,1,1,1,81.71943968314879,12,46.362138077779505,10,12,0,0,16,1,1902297,1,1,62.06767873500218,54.96919120827299
tier3,v8.2,v10.5,minor,29,38,14.95082872901958,26,93209,580218,96.54885813031757,213,6,14,on_premise,21,15754,2281,1808,74.56444240358498,canary,26.95676750005928,agile,1,1,1,1,0,0,1,1,1,1,74.05459364040807,15,72.35285474407722,2,11,1,0,7,0,1160930,0,1,81.77559891409742,69.01442906515878
tier2,v9.2,v9.2,major_2x,34,33,60.77812803923252,14,312216,234549,98.56634510914088,1561,6,25,private_cloud,24,30444,4025,3472,82.2539011455334,big_bang,59.663807977775235,agile,7,1,1,1,1,1,0,1,1,1,75.36806838446712,6,44.86349037107268,9,65,0,0,11,0,3079332,1,1,100.0,37.56317255457044
tier1,v9.2,v11.0,minor,118,17,40.56652600323188,30,321615,284698,97.79957603920417,672,9,33,hybrid_cloud,31,33411,3603,3080,81.17930083793547,canary,39.204147821543415,kanban,3,1,1,1,1,1,1,1,0,1,87.80084880269665,9,79.74680643312804,12,53,0,0,11,1,3487672,1,1,81.84020789004244,41.95978801960209
tier2,v8.5,v9.0,major_2x,16,22,20.087928200714078,27,152529,364586,98.79376530408899,489,13,7,hybrid_cloud,21,13124,6723,6920,78.53476366985568,canary,66.99143802345472,waterfall,0,1,1,1,1,1,1,1,1,0,79.57635149955772,19,69.60870428598324,11,44,0,0,11,1,2327340,0,1,100.0,47.116882652044495
tier1,v10.1,v10.1,minor,71,5,52.48457108186473,45,177871,819873,98.35972416673805,1203,8,43,private_cloud,48,17411,8856,6772,83.77708990810594,rolling,59.08175315825104,scrum,5,1,1,1,1,1,1,1,1,1,76.97146798727185,5,56.30147767321017,10,23,0,0,9,1,4158248,1,1,68.69057021328581,29.619862083369014
microfinance,v8.5,v9.0,major_1x,65,30,53.516139013580116,19,187751,475283,95.23066423934021,861,0,9,on_premise,8,23766,2668,4861,66.90575111088306,big_bang,51.96161048587971,waterfall,1,1,1,1,1,1,1,1,0,1,80.56375011861554,13,48.49325243897757,1,29,0,0,13,0,945402,1,1,63.96155260687033,75.89533211967012
tier2,v8.5,v11.0,minor,100,20,53.433181491572626,21,86857,521010,98.39688065372323,1526,8,24,on_premise,9,10801,5345,3015,84.88476708963412,canary,13.043578009039706,scrum,3,1,1,1,0,1,1,1,1,1,81.06358497260375,5,60.63163813470969,7,53,0,0,8,1,2010620,1,1,75.54928993580572,32.67844032686162
tier3,v10.1,v10.1,major_2x,74,18,51.21081017974692,19,130152,552156,98.71376242982477,882,1,10,on_premise,6,21029,1417,5110,83.78055112776838,rolling,34.09183098040018,scrum,1,1,1,1,0,0,1,1,1,1,68.54206618827699,13,49.75116334800031,4,11,0,0,12,0,1436437,0,1,76.5473744567256,73.71688121491239
tier2,v8.2,v11.0,major_1x,100,11,73.25325452073332,23,88454,625101,97.29804836246886,965,4,32,private_cloud,24,9635,5804,3909,90.41801750484215,canary,34.750796397013076,agile,4,1,1,1,1,1,1,1,0,0,77.41711821766233,12,80.99805385128725,6,53,1,1,6,1,1284636,1,1,60.88321866787113,51.34902418123444
tier3,v9.2,v10.5,minor,67,34,33.74197032191361,34,252626,550270,95.80293576354815,1247,1,31,hybrid_cloud,22,25745,5139,6277,76.68775848416253,big_bang,32.78597068933075,agile,3,1,0,1,0,0,1,1,1,1,80.15173064657571,11,75.38420697395443,8,48,0,0,7,1,1930863,0,1,88.02770213711062,54.46146788177407
tier3,v8.5,v10.5,minor,39,14,38.056513239742344,23,253551,524035,98.71060442909449,603,1,4,hybrid_cloud,12,16034,4065,5817,76.38382528501347,canary,45.12261838280357,scrum,4,0,1,1,1,0,1,1,1,1,84.16758874528067,13,53.07357556436019,9,14,0,1,7,0,2152935,1,1,60.28310667963505,82.29530221454723
tier2,v10.1,v10.5,minor,88,28,62.11542775379245,7,308680,604652,96.57155157981155,1351,3,6,hybrid_cloud,18,12893,4775,5195,76.67199632380692,big_bang,42.072250368555544,scrum,5,1,1,1,0,1,1,1,1,1,75.46444045957385,12,69.6579326080084,9,25,0,0,15,1,1347511,1,1,58.977030381847534,59.26577578990579
microfinance,v9.0,v11.0,major_1x,69,2,13.195139523124313,13,256091,108129,95.72646249146786,824,13,11,hybrid_cloud,12,21784,4212,2803,78.63438170322252,big_bang,9.351061858950914,waterfall,1,1,1,1,1,1,1,1,1,0,84.0002986415239,7,74.1228911335758,9,15,0,1,4,1,1483505,1,1,100.0,36.883231245733924
tier3,v8.5,v11.0,minor,77,11,58.78814919186093,5,301360,589783,95.63331008338128,1114,4,25,on_premise,18,17905,3494,2201,93.28133692509788,big_bang,25.82996514571586,waterfall,1,1,1,0,0,1,1,1,1,1,72.65846318628351,15,67.3774058335271,4,53,0,1,7,1,1622442,0,1,71.60785838233824,51.036655041690636
microfinance,v9.2,v11.0,minor,56,24,24.53792589259789,25,201781,255353,97.59768914918088,311,2,32,hybrid_cloud,11,12822,5990,4689,80.85134322031739,big_bang,14.498894440367335,agile,3,1,1,1,0,1,1,1,1,1,90.43631656769746,12,79.17120580774906,7,9,1,1,15,1,1393266,0,1,52.746371187620085,70.57884457459045
microfinance,v8.2,v9.0,major_1x,68,26,19.030299708521614,8,75979,481573,97.1042627794468,903,5,35,on_premise,23,11881,1538,6345,69.96973479135919,canary,54.64018640084331,scrum,6,1,1,1,0,1,1,1,1,1,81.78485354311039,12,58.27355880144076,1,59,0,1,5,1,1087023,1,1,56.688093663873914,47.9921313897234
tier3,v8.5,v11.0,major_1x,30,16,13.929585956722496,6,90176,344024,97.31375159021314,648,10,4,on_premise,16,8107,5320,5770,79.83125337362384,big_bang,27.32812293649301,kanban,5,1,1,1,1,1,0,1,0,0,74.10643990717575,9,43.35005573535998,9,20,0,1,12,1,813306,0,1,100.0,53.696875795106564
microfinance,v8.5,v10.5,minor,31,2,40.64221952641164,35,129653,408308,98.60512794002577,1340,4,29,public_cloud,14,26222,862,3180,75.78895296176383,canary,29.99667150450922,agile,3,0,1,1,0,1,1,1,0,1,84.51127747841439,10,48.111469509477345,7,42,0,1,7,1,2268100,0,1,76.0045087141546,46.002563970012886
tier1,v10.1,v9.2,minor,63,28,32.40668959789251,50,294937,783749,99.69974035110815,1545,12,20,hybrid_cloud,24,12161,2663,9038,94.62389881650721,blue_green,62.82285013821473,agile,6,1,1,1,0,1,1,1,1,1,86.08870020009887,12,76.4031566220171,11,21,0,0,5,1,3559006,1,1,86.81586414264655,22.949870175554082
tier2,v9.0,v11.0,major_1x,67,22,21.912371817901764,7,284364,235281,96.49066280623843,484,13,32,private_cloud,19,19181,5954,2847,71.30168112170394,blue_green,19.56196331978803,kanban,7,1,1,1,0,0,1,0,0,1,80.88047221322867,9,56.4759367178157,1,43,0,0,11,0,2174408,1,1,100.0,33.56533140311922
tier1,v9.0,v9.2,major_2x,119,43,58.25954307167971,22,153239,493270,96.17050649774401,1529,14,7,private_cloud,42,13276,8757,2463,96.1893559606485,rolling,61.12094953916666,kanban,4,0,1,1,1,1,1,1,1,1,74.45276923337966,13,79.88233422874363,1,50,0,0,12,0,4020508,1,1,100.0,22.00525324887201
tier2,v8.2,v10.5,minor,64,25,27.816175181505184,38,108232,470336,97.10762373488622,1637,3,20,on_premise,15,31673,7159,8010,99.0322945037204,canary,29.39600425855716,agile,5,1,1,1,1,1,1,1,1,1,77.95938807357089,11,46.244738205456756,7,47,1,0,10,1,2889810,1,1,50.54368057683655,46.81381186744309
tier2,v9.2,v11.0,major_1x,50,40,15.533495420393752,40,124425,793272,95.52411073076829,1487,10,41,on_premise,18,35502,5018,3611,99.03168159105967,canary,56.02194640534389,scrum,0,1,1,1,1,1,1,1,1,1,64.32504535630711,8,45.757912900028245,2,61,1,0,4,1,2121034,1,1,83.27980951203163,17.522055365384148
tier2,v8.2,v9.0,minor,79,17,39.21810897956485,20,76433,584847,98.92773789913772,808,6,25,public_cloud,14,23615,7581,2439,78.1615098256943,blue_green,67.68247317296937,agile,5,0,1,1,1,1,0,1,1,0,84.13094723157472,12,79.19985566350198,10,18,0,0,13,1,3026243,1,1,87.69507216920573,52.803868949568866
tier3,v8.5,v9.0,minor,17,33,29.556562599769386,24,93681,439958,96.09116757790396,589,8,16,on_premise,11,19442,1720,2165,82.87927795795855,big_bang,63.728205365832935,kanban,3,1,1,0,1,0,1,0,1,1,61.589281548659734,13,66.13192415594807,2,21,1,1,11,0,1673926,0,1,100.0,54.26558378895197
tier2,v8.5,v9.2,major_1x,41,17,33.300056734533555,21,228002,548646,97.60098818522542,1410,8,21,private_cloud,26,11130,4473,1625,82.96527836729366,big_bang,13.002717888923543,agile,2,0,1,0,1,1,1,1,1,1,79.29135929751543,13,65.981930254141,5,44,1,1,7,1,1015218,1,1,100.0,36.100494092612706
tier2,v9.0,v9.0,minor,22,14,40.81005997088478,12,198030,227669,95.8763219036684,983,2,19,hybrid_cloud,19,13149,6356,7875,84.5958404311013,big_bang,49.5140660773331,kanban,6,1,1,0,1,0,1,1,1,0,68.9380762131759,8,77.63745367228876,7,8,0,1,9,1,3556013,0,1,61.822816060499726,62.778160951834195
tier3,v9.2,v9.0,major_1x,78,33,49.22999632661716,33,208957,621836,97.20517693545068,369,0,33,private_cloud,26,24654,2501,4664,84.4074624798628,big_bang,32.12098623368364,agile,0,1,1,1,1,1,1,0,1,1,74.15352457197568,15,68.86394666084887,1,48,0,0,13,1,896273,1,1,61.09870359892566,74.72258846772534
tier1,v10.1,v9.0,major_2x,90,43,55.56971994642022,46,250918,991305,95.77002805038266,1031,8,42,private_cloud,37,23663,9604,9150,96.12496165893421,canary,34.11057916479764,scrum,2,1,1,1,0,1,1,1,1,1,85.04189945597805,8,56.639375701115405,10,21,0,1,19,1,2605116,1,1,89.1125418551798,32.265014025191334
tier3,v9.2,v10.5,major_2x,77,25,63.956917145213495,23,221830,482891,97.97099793262446,950,4,16,on_premise,20,17534,5179,2757,76.02681371210764,blue_green,22.895076800792232,waterfall,5,1,1,1,0,1,1,1,1,1,69.1912491190582,16,65.34283807598871,9,32,0,0,8,0,1155248,1,1,85.66257146820897,59.985498966312235
tier1,v8.5,v9.0,minor,64,15,49.27855164347062,10,387301,558882,99.79424672676195,1832,2,42,public_cloud,35,21832,7151,6572,88.97588149630195,canary,84.99281525497369,scrum,3,1,1,1,1,1,1,1,0,1,92.38996212093348,12,46.958346842983524,8,46,0,0,9,1,4146106,1,1,38.155404915402606,36.257123363380984
microfinance,v10.1,v10.1,minor,62,11,27.063341864009818,24,218008,166372,96.44479876130887,1134,10,40,hybrid_cloud,11,8571,5788,1335,71.40002274132534,big_bang,54.48355516576079,agile,1,1,1,1,0,1,1,0,0,0,69.24507442244757,19,67.60096623101738,3,51,0,1,11,1,1914934,0,1,100.0,25.542399380654444
tier3,v9.2,v11.0,major_2x,49,42,53.97532513198685,31,265572,533700,96.83119237465145,1279,7,8,hybrid_cloud,14,10376,2562,1885,78.14195479983034,rolling,56.233552612331444,waterfall,5,1,1,1,1,1,1,1,1,1,82.86479929424597,17,57.74335209227352,6,52,0,1,7,1,695983,0,1,87.27282643315029,47.83559618732572
tier2,v9.2,v9.0,minor,24,4,22.75659577174494,34,241987,307068,97.8817201774609,1328,8,31,hybrid_cloud,11,20167,5226,5420,84.26947566609729,canary,14.73454302416924,waterfall,7,1,0,1,1,1,1,1,0,0,84.29434244052646,14,59.69838721330721,11,42,1,1,5,1,3194772,1,1,100.0,32.88086008873046
tier1,v10.1,v9.0,major_1x,100,18,47.58516508156484,17,135210,628242,96.42857196309842,1818,6,28,private_cloud,39,42858,7610,4818,100.0,big_bang,24.485093094066908,waterfall,2,0,1,1,1,1,0,1,1,1,84.07611174951447,8,62.99054421731685,12,24,0,0,9,1,3243910,1,1,100.0,29.85428598154921
tier3,v8.5,v9.0,minor,25,18,35.64216224750295,35,317675,628428,98.09357691731533,838,4,24,on_premise,20,15408,2315,6381,78.14149161285995,big_bang,49.469415886131884,agile,1,1,1,1,1,1,1,0,0,1,87.54294181502303,18,42.952387052953625,6,26,0,1,8,1,1138068,0,1,96.48038795056051,58.286788458657654
tier3,v9.2,v10.1,minor,87,26,48.64755220683365,16,67623,305470,95.94489036765641,1187,4,34,on_premise,25,17936,2578,1258,84.35900369544336,big_bang,48.15065401504138,agile,4,0,1,1,1,1,1,1,0,1,68.36951428167026,10,50.60012671086131,8,57,0,0,9,1,2556999,1,1,95.7039862237565,45.232445183828204
tier3,v10.1,v9.0,minor,94,31,62.87906627122145,14,117014,499895,95.25896924669571,646,5,29,on_premise,19,5322,1145,1143,71.33006965773139,big_bang,63.1053918030102,waterfall,4,1,1,1,0,1,0,1,1,0,86.14794637182644,23,44.12148578711326,7,19,0,1,10,1,710163,1,1,98.78176424090957,55.20948462334785
tier3,v8.5,v9.0,major_2x,57,36,64.46916606142246,10,141765,304498,97.10211941340951,1323,4,9,private_cloud,29,19302,1487,3095,77.16174897584109,rolling,39.71804059307363,waterfall,6,1,1,1,0,1,1,1,1,1,64.3063946017926,12,65.8444771785776,3,15,0,1,4,1,1143976,1,1,72.18148383130814,55.591059706704755
tier1,v10.1,v11.0,major_2x,106,39,26.988813318293193,35,212843,934881,96.10444541167175,1612,2,45,hybrid_cloud,13,26030,5111,8060,85.29299624097916,canary,63.954965178422825,scrum,7,1,1,1,1,1,1,1,1,1,73.90488909736176,10,67.36144972403324,6,21,0,0,17,1,2768492,1,1,56.46380774631885,37.312222705835865
